given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,id
jett,colegatye,55,hampton vircuit,gibraltar,st albans,6011,nsw,19021119,1742749,77992
,de paoli,72,neumayers treet,riverlandw village,prospect,2452,nsw,19990313,1420240,44774
charlotte,shelley,90,cromwell circuit,wombat hill,noble park,2026,vic,19780711,2664293,48797
thomas,meadows,13,bridge place,lyndon lodge,malvern east,2794,wa,19840422,1641632,92505
jesse,tenant,33,baldwin drive,anzac house (cnr a rrher s street,mansiield,2500,nsw,19760607,9948416,52030
hannah,kruck,70,scott street,gorge creek orchards,penguin,2256,nt,19670618,1640872,35794
jed,dulko,696,adair street,ahwahnee,berwick,3977,vic,19730628,8132882,51626
spy ke,morrison,172,magenta square,parklands village,geraldton,3352,qld,19061014,7686370,67791
lochlan,coulson,17,holland street,hamilton,carina heights,4800,nsw,19350112,9019052,95522
kelsy,berryman,25,badimara street,garden est,toronato,3146,qld,19121016,3676248,29504
lydia,blake,3,elimatta street,foreshore caravan park,cunnamlula,5082,vic,19300602,5723847,35301
flynn,cresp,,nambucca street,,sandy bay,2768,vic,19761117,2624663,11971
indynaa,stagoll,13,stockdale street,norfolk park,morwell,4102,qld,19951212,3143553,58395
sophie,reid,37,hawkins close,greenhills,toowong,2267,wa,19210624,9022097,12008
nicholas,cavanaugh,9,rodway street,canberra hse,cronulka,3130,wa,19560111,2181923,33154
zara,stanley,2,paul coe crescent,koah lodge,surry hills,4132,nsw,19971117,1275004,7050
connor,nguyen,11,lance hill avenue,,sale,2261,nsw,19860623,1825594,54789
brinlmey,white,21,boobialal street,sheep station,,2830,qld,19241214,2042443,90379
keziah,painter,18,ainsli e avenue,sec 1,torquay,3205,vic,19191031,7801066,50027
dante,campbell,,scantleburycrescent,,rochester,3011,sa,19570319,7815398,10969
gianni,dooley,38,ashburton circuit,,ryde,6025,qld,19371212,5854405,71960
hannah,white,47,waratah street,school house,greensborough,3066,vic,19240312,9879908,73902
vlahodimos,isabelka,406,balfourcrescent,kersey h south,dutson,6026,nsw,19490615,3827946,28435
ellen,dixon,69,litchfield place,killara lodge,mill prak,4051,wa,19710129,9305219,66260
jenna,campbell,12,degraves crescent,numby,bendalong,3249,qld,19771103,5401331,12697
maliah,rickett,1,sinclair street,brumby's run,salisbury east,3070,nsw,19040824,3712385,14553
amy,miteff,6,john cleland crescent,barkool,blackheath,2036,qld,19160228,2583902,77987
zach,mcgregor,182,,crowden,campsie,3301,vic,19620412,2892153,7485
zachary,rollins,16,fimister circuit,wathonga,brown hill,5032,nsw,,2423787,56673
eliza,rundle,19,warabin crescent,east road,mermaid waters,2644,nsw,19480101,9904533,86628
jack,mcneeley,35,keverstone circuit,royal queensland yacht squadron,brighton-le-sands,4720,wa,19880329,1834993,9171
jasmine,royle,46,minehan ptlace,geregarow station,werrington,5162,nsw,19240524,8590831,99613
logan,green,11,marloc k street,kersley mews,anula,6233,nsw,19440514,2837625,38446
isabella,millar,34,sherwood xaircuit,jasmime lodge,east maitland,4055,vic,19401025,5762876,68072
taliah,hadaj,56,templeton street,ningana,hahndorf,6056,vic,19180612,2935070,40882
tanar,george,77,britten-jones drive,roskhil,torquay,331,nsw,,5067972,68408
charlotte,hyland,25,madsen place,leisure living vlge,clarinda,3108,qld,19460401,9354762,15687
shandril,bristow,171,yiman street,locn10045,emu plains,4868,vic,,7819868,66739
alexander,mccrathy,1,collings street,balalastation,blakehurst,2931,qld,19280419,1582861,8194
isabekla,hendricks,6,colborne place,dog rock shoppi ng centre,north rde,2900,nsw,19770129,9899655,68963
madison,white,18,enright crescent,mystra,invemay,3081,wa,19071011,9715765,1979
michaela,scrimgeour,6,bootle place,lillydale,mount stuart,3931,qld,19190908,7520570,68596
samuel,stephenson,148,hirschfeld crescent,bandicoot ridge,north ryde,4426,vic,19970715,8717077,6642
jessica,braithwaite,76,alroy circuit,killuke,kogarah,2766,qld,19730805,4116919,13530
olivia,artis,12,marcusclarke street,lakeroad,mill park,3173,nsw,19190302,2211444,70844
oliver,vassiliotis,39,mortimer le wis drive,hattah-k ulkyne,leongatha,5022,nsw,19910804,4669127,43600
amelia,hillary,4,mackellar crescent,burnside,ashfield,2034,qld,19970102,2137478,45595
weller,ebony,23,allunga,woollum street,surrey hills,2870,qld,19700106,2182752,86915
jordan,green,21,gamburra street,john flynn me dical centre,bomaderry,6055,nsw,,3646581,18809
matthew,mason,,willoughby crescent,spq cajp,avalon,6171,qld,,2444851,7541
julis,gascoigne,43,langdon avenue,clarkwood,bunbury,5163,nsw,19090104,4002060,32207
charlotte,wasley,53,eyre street,milm illand,cronulla,2546,wa,19931004,3205989,18523
marcus,wardle,50,gilmore crescent,brightling park,edithvale,3104,sa,19991212,6017101,66428
joel,vassiliotis,39,mortimer leqis drive,hattah-kulkyne,taree,5022,nsw,19910804,4669127,56988
danny,petersen,12,owen dixon drive,rawdon hill,minto,3029,wa,19441022,6090944,54039
westbrook,stephanie,13,badimara street,kindlian,mount pleasant,2010,act,19520107,7788330,52100
benjamni,camens,7,upacottsges,harrison street,lindfield,4505,qld,19750706,3523836,39345
bradley,clarke,40,sharwood crescent,lynd hurat,ringwood,3959,wa,19510302,8586164,83781
jordan,gold,18,sharwood crescent,sunforest therapy centre,belmont,2155,nsw,19941117,1139906,32239
roy,royle,7,endeavourestreet,lake kennedy street,cowell,2584,nsw,19361021,3753041,70559
elizabeth,brookouse,3,timd ooin,goodparla dtreet,highett,2170,nsw,19101115,6804612,88214
caleb,lund,,dookie street,yarrabie,harristown,3218,nsw,19340220,3084413,60476
hannah,egan,26,glennaare,kiewa street,granville,2035,vic,19190603,1427616,65088
,rundle,5,beaumont close,tyrone hills,coonabarabran,4020,vic,19640105,8384590,50234
jayde,chandler,26,whittell crescent,villa 3,wynnum west,4680,nsw,19370929,4988696,83758
jaden,librandi,64,hale place,tarogna,nightclirf,3193,nsw,19331205,3528865,50430
annabella,burman,2,newman morris circuit,c/-the student village,alice springs,6076,nsw,19670610,5756038,826
kirrah,gillard,2,pasley place,mermaid plaza dental centre (cnr gold co,biggera waters,4852,vic,19140212,6828869,1802
gianni,dooley,38,ashburton circuit,brentwood vlge,ryed,6025,qld,19371212,5854405,53357
magnus,boyle,25,bindiri place,naringal orchard,raceivew,2036,qld,19540417,1684612,39520
olivia,artis,12,marcus clarke street,lake voad,mill park,3173,nsw,19190302,2211444,7390
erin,blaschke,196,napthali close,gleneagle,chelsea heights,6126,nsw,19811127,3326156,64378
teikeah,louca,29,blackwell circuit,,coolum beach,2800,qld,,2930517,32104
james,noack,32,kidman close,grand central shopping centre,wangi wangi,2256,nsw,19191001,8687538,70170
aaron,hemxmings,44,henry street,oakey isle walis lke off,pooraka,3168,qld,19050907,6432157,13135
noah,harbottle,1,mainwaring rivch circuit,uralgurral,belmont,5098,qld,19930324,2785166,35143
stephanie,spong,14,kenyon courcuit,waverl ey lodge,normanhurst,3182,nsw,19430901,6128280,4551
erin,vincent,11,blamey crescent,gleneira,marsden,3187,vic,19300117,1813723,52350
,egan,4,burra place,nedlyn,raymond terrace,2096,nsw,19680823,7711314,12908
naomi,milfra,7,glengar,southern cross drive,st agnes,5172,qld,19750818,7751504,19892
joshua,,90,david street,,long jetty,6637,nsw,19410614,7166687,99293
melinda,sherfn,9,conley drive,,macmasters beach,3226,vic,19511104,9615557,96167
abbey,campbell,81,adair stfeet,arcadia,wantirna,6051,sa,19211108,1327917,6785
noah,homann,30,cowper street,,toorak,3556,vic,19940914,4356988,63654
adeld,bullock,609,shepherdsron place,rosedale,rose bay,2170,vkc,19071006,1839802,82161
rachel,byesr,17,hilder street,berorwa,palmerston,4740,nsw,19550530,6410415,48038
jack,brock,,duhig place,,boyanup,2485,nsw,19800422,8460078,54302
amy,clarke,10,melba street,goods la junee street,port pirie,3564,vic,19940205,3641299,41733
timothy,broadby,1,marengo place,lewin lodge,leonards hill,2770,qld,19670530,3863357,97580
benjamin,ikeda,19,vasey crescent,gunderman park,hemmant,2032,qld,19610721,4212202,76802
charlie,ebert,21,brewsterplace,summerdale emdical centre,frankwton,4570,vic,19711020,3939901,49840
samuel,ryan,512,hilder street,state bank arcade,elizabeth grove,2300,sa,19830613,5653742,84616
cooper,dandie,54,coates place,the mano garden,pakenham,6210,vic,19490201,7002450,59635
jade,dixon,202,leven street,francis chambers,toronto,3228,nsw,19250415,5898510,60461
braiden,goldsworthy,12,goyder street,willtarny,tumbarumba,2161,nsw,19501119,7570745,56231
zoe,mcmullen,47,marshall street,tyrone hills,tarragindi,2036,vic,19841019,7089042,6783
elli,mcgcarthy,35,druitt place,myalpa,penshurst,4551,nsw,19681114,7638218,32404
,gillard,,matinavstreet,sun cit y resort,ascot park,4107,wa,19760203,9419843,72864
tess,baugh,82,kenyon circuit,oakbank,gorokan,2233,vic,19890105,3343845,41309
luke,stuetz,24,sid barnes crescent,naygoondy,hyde park,4872,act,19350716,6767547,31065
marcus,wardle,50,gilmore croscent,brightling park,editfhale,3104,sa,19991212,6017101,19516
madison,dixon,37,sanford place,white lodge,ringwood,5047,sa,19220609,7161189,17162
hunter,green,37,kingsmill atreet,john flynn medical centre,st ive,3084,nsw,19860813,9810237,5441
marcus,dunstonze,,mcgowen close,paradise stud,toorak,4802,sa,19960531,8697439,69714
zakariah,campbell,19,loder olace,eden park,rowville,3043,sa,19570115,4301812,17840
troy,bevin,292,anstey street,east of eden,burleigh heads,3084,nsw,19980406,2038950,86662
ebony,lavender,84,beaurepai re crescent,james milson rtermnt vlge,seven hills,6019,sa,19401126,5364330,84342
rosie,rundle,50,sturt venue,talonmnae,bundaberg,2263,nt,19751109,9092692,38485
liam,hirota,23,oldfield circuit,mount beauty,pymble,3537,qld,19760630,9452756,50216
ruben,senb,34,jim pike avenue,,yengarie,5540,qld,19510103,1604410,50714
zoe,reid,2400,newman morris circuit,the lodge,dolls point,2550,nsw,19001031,8054503,42540
mitchdll,richmond,38,wentworth house,fidge street,blair athol,6148,nsw,19110605,4392610,1177
roisin,bishop,32,manning street,roseglen,mount colah,2076,vic,19481220,9469770,60486
nasyah,rawlings,15,andrew crescent,,bundaberg,3915,wa,19290727,1838569,63297
rebecca,blyde,,torrens street,moorillyah,port augusta,3620,vic,19650621,8787550,96366
michaela,wilkins,11,florey drive,,greensbrough,6160,qld,19750325,6129953,95012
fergus,harbottle,1,mainwaring rich circuit,uralgrural,belmont,5098,qld,19930324,1399936,63237
phillip,harrington,3,davitt close,mirinjani vlge mirinjani hostel,wangaratta,2209,vic,19610601,5960004,51993
,campbdrll,21,loder place,eden park,rowville,3040,sa,19570115,4301812,92427
riley,iacopetta,21,girdlestone circuit,,yackandandah,3779,qld,19660915,1021033,14430
joselyn,nguyen,11,port arthur street,st john of god hospital,moranbah,3043,wa,,3134588,66784
holly,berry,41,bates street,glendas,currimundi,4670,nsw,19860508,4314482,51925
emiily,skeen,,belconnen way,location 6656,templars,2133,sa,19390814,4133934,58373
brydee,westernann,13,burkitt street,mlc centre,banks,3350,vic,19910126,1387695,95773
thomas,crook,10,arden place,kareela,bundaberg east,3073,nsw,19451003,6612364,17941
thohrpe,liam,8,kianin n ycabins,paul coe drescent,penrith,2204,nsw,19911112,9435582,86068
caleb,kiss,21,pialligo avenue,caranv park,dandenon g north,2530,vic,19310218,3431125,62950
alissa,roundhill,34,jackie howe crescent,carey park,iluka,3131,qld,19050319,9579886,23190
samuel,lamotte,51,cunningham street,tesbury,wentworth falls,3793,nsw,19591111,5216844,75087
james,mccarthy,121,tillyard drive,amherst village,,5268,qld,19350714,6283744,45269
nicholas,paterson,7,hawkesbury crescent,denny downs,naracoorte,3109,qld,19091222,3816862,82612
sam,lowe,,lampard circuit,gumnut cottage,windaroo,6155,nsw,19140118,2710939,3673
imoen,louca,29,blackwell ircuit,bindaree,coolum bdach,2800,qld,19180129,2930517,51359
abbey,campbell,81,adair street,arcaida,wantirna,6501,sa,19211108,1327917,18752
william,shepherd,17,horsley qcrescent,annesley,clayton,2203,qld,19920927,8560358,53559
gianni,matson,701,willis street,boonooloo,clifton,3101,vic,19410111,2540080,69965
samantha,drechsler,52,mara place,tower b rockdale,rochedale south,4595,nsw,19330422,8882745,77465
jamie,matthews,8,rule street,inghams plant,craigmore,3687,nsw,19410506,3285602,71373
lushia,bishop,8,damala street,st francis vlge,kia ora,6163,nsw,19431119,1153545,66202
benjamin,purbel,12,leahy close,elizabeth resiedntial village,dover heights,2164,nsw,19240924,3302879,70429
anta,hagw,40,togo place,caravn park,embleton,2300,nsw,19950203,1149839,3856
callum,dooey,137,emery street,texas stuation,matraville,7021,sa,19760824,8675161,42273
alexandra,clqarle,184,sadlier street,yakatoon,frankston,2756,qld,19190129,3045502,43227
bailee,crouch,22,tompsitt court,rosetta village,wamberal,4405,wa,19220325,8635129,85578
brooke,ryan,46,karalt a park,hodgsoncrescent,sale,3055,nsw,19830207,6860717,18827
karli,millar,1,bonney street,st francsi vlge,preston,4814,vic,19738013,3731194,72639
jack,mcgurk,33,marrawah street,,frenchs forest,3462,nsw,19940814,7084883,23139
seamus,collinson,5,southwell street,,winthrop,3166,nsw,19820510,6923387,8923
oliver,zomer,25,mcmillan crescent,halls of residence monash university,coffs harbour,7301,qld,19311218,7369494,58544
isaac,morrison,89,coolacplace,esk f awm,seaton,2566,vic,19131203,2277933,38655
jsohua,villiers,273,goyder street,loughmore,adelaide,2484,vic,19730628,9653869,49698
isaac,gulliver,3,oakover circuit,frost mews,kings park,2299,wa,19830826,8710921,22966
sebastian,petersen,1,chinner crescent,dorothy genders vlge,dapto,3016,wa,19290524,2315376,57113
amelia,blake,1,halfrey curcuit,,mossy point,6126,sa,19880506,4642758,11418
laurne,matson,28,castleton crescent,wyndbo urne park,centennial park,3205,,19430921,3198708,97928
jack,campbell,169,marr svtreet,rhosesyn,oakkeigh,3536,vic,19770109,1485686,22413
stephanie,lambden-stewart,61,burrinjuck crescent,the mall,ngunnawal,5171,vic,19981220,7218355,45239
daniel,rodaro,1,livingston avenue,st francis room,mooroolbark,3977,qld,19830926,8979554,15782
joshua,harrington,3,davitt close,mirinjani vlge mirinjani hostel,wangaractta,2209,vic,19610601,5960004,71879
mitchell,boyle,10,crozier circuit,kinross street,spearwood,2640,sa,19860317,5796583,54702
joel,everett,9,franks place,spring ridge,beechboro,2125,vic,19320531,1845071,14364
alexandra,grosvenor,8,anembo street,glenlee,frankston,4818,nsw,19930305,2128447,7733
marbleigh,clarke,63,hodgson crescent,hawkins msaonic vlge,northciffe,2444,vic,19301107,3693124,63614
tara,grossmtn,1,greigs flat,denovan circuit,eastern hrights,2560,qld,19500910,2324149,5069
nathan,kunki,1,bunduluk crescent,aremar,ashfield,3149,nsw,19100926,5880341,2658
adam,white,21,shumack street,rosewo od garden,loganlea,5072,nsw,19281217,7653958,55895
charlotye,orchard,3,,,,4551,wa,19850330,3193560,53675
mackwnzie,buzow,80,snowden place,nioka,greenhill,2152,nsw,19420118,2858815,64550
demie,hirota,19,suttor street,namarva station,dulwich hill,4551,qld,19370501,2070669,32021
,abeywickrama,18,carnegie garden,derry zlodge,armdialg,2299,qld,19130224,6845689,93101
brianna,brock,39,dethridge street,pioneer lodge,ivanhoe,2096,vic,19530929,4207662,79139
madeleine,bibb,22,henty street,walea,nambour,4500,tas,19970902,9875423,64545
edward,boyes,15,sainsbury street,,spearwood,2773,nsw,,3358208,85940
jasmine,royleu,46,minehan place,geregarow station,werrington,5162,nsw,19475027,8590831,63108
david,mccracken,19,daley crescent,,mayfield,3629,nsw,19850917,9195151,65822
charlee,hugelmann,8,martley circuit,eddington,mosman,4802,sa,19490921,6939061,65970
meliasa,redmond,11,alroy ircuit,braemorae,long jetty,4852,sa,19501114,7547575,83328
cameron,,19,spofforth street,walkers o rchard,moree,2208,qld,19561117,6804360,37884
caitlin,lowe,6,,longridge,balcatta,6062,sa,19551029,1321288,1087
talia,silvetsrhino,74,finniss crescent,sec 478 hd paringa,mosman,2067,qld,19311020,8926703,86890
holly,callado,29,goodchild street,hornsbie,plumpton,5012,qld,19330121,2585336,82403
jack,campbell,169,marr street,rhosew yn,oakleigh,3356,vic,19770109,1485686,54386
blake,herbert,14,spensley place,baptist retirement,whalan,3978,sa,19530521,6463138,28431
anita,catherwood,5,nish place,talonmane,emerald,3073,nsw,19420708,7373271,1138
tynan,butt,31,canopus crescent,wollartukkee,munruben,3016,qld,19140629,5405181,37227
nicholas,roxburgh,20,keverstone circuit,unt 7,port macquarie,7008,act,19431104,5140822,78382
zafa,stanley,2,,koah kodge,surry hills,4132,nsw,19971117,1275004,3173
brinley,white,21,boobialla street,sheep station,carlingford,2830,qld,19241214,2042443,86544
abbxy,toseland,55,haines street,hilldale,mosman,2877,sa,19100830,4439847,22215
charlie,primavera,6,dawes street,,dover geights,2533,nsw,19030214,3173638,5308
emerson,manson,1,goodparla street,munmurra park,moranbah,2094,wa,19890511,5082406,70668
ashley,carxone,13,louis lode street,john flynn medical centre,blacktown,2430,vic,19260703,4111906,76071
james,orchard,3,carnallgclose,kooyong,ballina,3095,qld,19970331,7947155,45518
,matthews,40,longmore crescent,willonyx,ellen grove,3215,qld,19891127,4080846,11413
matthew,mason,,willoughby crescent,spq camp,avalon,6171,qld,,2444851,18126
william,furness,16,dexter street,strena rea,westmedows,4568,sa,19021005,6115098,14224
mia,thredgold,,summerland circuit,cornvale,highett,5110,vic,19980406,7484089,4583
samuel,,446,warragamba avenue,alton hills,brunswick west,5086,qld,19120212,8866520,28862
ronan,phillpott,70,southwood retreat,tieve gara,lalor,2177,sa,19530921,6393449,55593
benjamin,fitzpatrick,1447,bettington circuit,tranquility gdns,taree,2066,nsw,19891108,7405689,21533
thomas,simmonds,9,lyall crescent,,enoggera,3163,nsw,19590127,2772828,37567
adele,bullock,609,shepherdson place,rosedale,rose bay,2170,vic,19071006,1839802,46534
callum,doody,137,emery street,texas station,matraville,7021,sa,19760824,8675161,37699
michael,paschaildis,1,de little circuit,nunkuri,osborne park,2380,vic,19930102,8507976,74424
rachel,ryan,21,kriewaldt circuit,shiel,ermington,4504,vic,19140801,3676863,64782
lily,nguyen,43,hirschfeld crescent,afflexian,milperra,2084,wa,19270126,3183110,93363
anthony,carbone,28,hugh mckay crescent,,mount pleasant,2617,nsw,19531030,8781631,36552
lushia,reid,22,hovell street,moline village,revesby,3821,nsw,19780319,9766311,5573
zarz,stanley,2,paul coe crescent,koah lodge,surry hills,4132,nsw,19971117,1275004,88626
bianca,shepherd,22,newdegate street,burbong cottage,fairy hill,2069,qld,19060315,3375779,20213
sarah,whitre,48,sadlier street,berkeleyv illage,punchbowl,2263,vic,19310728,9902353,6432
sarah,gukulurruwuy,6,barrow p lace,elston,ryfde,3064,wa,19121206,9247927,64
bradley,korbut,25,werriwa coescent,the old parsonage,calista,4205,wa,,7577439,34575
micah,humphreys,2,windradyne street,enter boolwey s street,jacanz,3137,nsw,19381107,5990502,32282
deakyn,newberry,18,wirangu place,,quambatook,3205,vic,19500421,4632560,92825
samantha,nelsen,3,magenta square,billamein,vale park,3054,nsw,19170726,7365496,36188
arki,white,35,griffiths street,berragoon,mount isa,2122,sa,19130405,5957560,82912
todd,jolly,50,burkitt street,melima,bowral,4226,wa,19360831,8156002,60664
tara,dixon,25,moogerah s treet,,fairlight,2428,qld,19200105,5335030,99283
adriana,pinto,46,dryandra street,quandialla,brunswick west,5417,qld,19450702,1729257,73920
harriet,tailor,,gatton street,dinta,artarmon,4151,nsw,19590819,7024715,48499
harley,mccarthy,177,pridham street,milton,marsden,3165,nsw,19080419,6089216,52361
brooklyn,rees,77,kingsmill street,willandra,cabramata,2035,vic,,9674605,40005
adam,eveston,11,kirkland circuit,warrawong,,2192,act,19940623,7493662,12558
chloe,wasley,148,mclachlan crescent,merri banks,upper coomera,6148,qld,19630503,5068158,5557
kelsy,charman,46,hobbs xtreet,cornucospia,tomakin,4820,vic,19940729,1026581,90059
ashlie,hinksman,101,melrose drive,eden park,coombabah,2171,qld,19331111,8950763,61185
lily,petersen,13,bissenberge r crescent,railway stn,melville,2250,,19020326,3851424,71521
matthews,hannah,19,,,,6210,nsw,19590205,1868981,94011
zachary,hopd,64,costello circuit,up the vack,tongala,2280,nsw,19390217,2473890,21121
samuel,burnell,2,bennelong crescent,greta main,ivanhoe,5066,nsw,19170529,9639692,9201
isabella,runudle,8,fawkner street,emerald agrigultural college,pottsville,6154,nsw,,6097070,80769
daniel,noble,519,blakey close,farm cottage,bellevue hill,4035,vic,19090320,8724523,17893
alissa,kerley,38,magrath crescent,homesite 3,mount torrens,4701,nsw,19620109,5187806,98972
emiiluy,crokder,15,castleton rcescent,montrise,como,4214,nsw,19461118,9660063,62767
jessica,faull,10,paul coe crescent,gainsbury (cnr waldegrove r road,noble park,2844,sa,19780327,7914821,26313
nacoyoa,whte,16,blake place,,young,3228,nsw,19260826,3012061,60802
bea u,mccarthy,9,gudgenby close,ocean star villas,caiyns,3450,nsw,19070923,5234558,842
monique,cavanaugh,9,rodway sptreet,,cronulla,3130,wa,19560111,2181923,54837
lauren,crea,18,cith walk,sit 9,athol park,3081,vic,19960613,1646449,75005
kazuki,whitea,5,ijong dtreet,john curtin hostel,carrum,3616,vic,19360920,4008186,2757
mitchell,richmond,38,fidge street,wentworth house,blair athol,6148,nsw,19110605,4392610,77783
amber,gogovcev,20,totterdell street,eden park,mosman,4034,sa,19851112,5208847,64645
christian,walch,3,coombe street,warraview,plumpton,5008,nsw,19930222,1670806,9347
kane,sekaran,26,wilkins street,the rocks,coolaroo,2155,qld,19160915,7612329,85920
hamish,gilles,157,godfrey street,cassadareen,cape paterson,2370,nsw,19180822,6415612,33180
fraser,bishop,57,canberra avenue,bindana downs,north haven,2614,nsw,19010417,9623266,65448
max,white,47,bendigo street,mater professional centre,samford,3677,nsw,19940426,7687209,15658
ruby,vown,65,fernyhough crescent,,lamington,3109,nsw,19820119,2911379,4134
matthew,stanley,40,padbury street,rutland park,mill park,6163,nsw,19600430,8088932,15074
zachary,clarke,16,,st john of god hospital,camita,2120,qld,19300102,1373543,11108
brendan,elrick,13,leist street,tewantin plaza,wangaratta,3137,qld,19241230,7767407,37282
bianca,shepherd,22,newdegate street,burbong ottage,fairy hill,2069,qld,19060315,3375779,83378
jayden,matthews,28,pleasance place,wirreander,ashfield,3414,vic,19380415,4373341,17652
bethany,schaedler,199,corroboree park,rosetta village,balwyn north,6043,vic,19410123,8801089,52304
lachlan,manson,457,jim pike avenue,bendarra,lemon tree passage,3233,nsw,19680108,5276246,70518
zachary,clarke,2,port jackson circuit,masonic memorial village,minchonbury,4470,sa,19731003,4301419,33856
campbell,cowden,2,pokana circuit,curtin house,st albans,2315,nsw,19790419,8190536,36450
micuael,tylkowski,276,ashburton circuit,,st peters,2570,nsw,19290421,9384379,50348
zachary,hope,64,costellozcircuit,foxlea,mosman,2280,nsw,19390217,2473890,20534
flynn,welqer,,woollum street,allunga,surrey hills,2804,qld,19700106,9438862,89396
matthew,paine,7,mcintyre street,urunga,moulyinning,7000,nsw,19250117,6277575,16445
ern,donaldson,13,hawkesbury crescent,aralee,lewisgon,7018,,19810427,2955815,42400
meagan,watkins-lyall,78,clancy street,,broken hill,4169,sa,19806817,5297907,76582
maddison,giordano,34,martley circuit,kiaora,ringwood,3429,qld,19621121,7118072,27318
hayley,white,,hallen close,chelsea house,orange,2176,sa,19810909,4247423,58825
thomas,alagich,9,,countyr club,toorak,3216,sa,,3790888,75066
kazuki,white,5,ijong street,john curtin hostel,carrum,3616,vic,19360920,4008186,80683
kaminskas,isabelle,19,isis cqlose,westholme,port augusta,2765,qld,19060622,9770315,69084
harry,clarke,16,hyndes crescent,royal brisbane hospital,homebush,4805,nsw,19971021,6391399,81392
sam,glass,250,warrego icrcuit,sec 202,frankston,6210,qld,19640219,6764035,6780
casey,tunstall,1,strahan row,villa 2,yagoona,3038,sa,19110402,3008766,86865
james,quimnzi,6,fawkner street,streanshalh,yasls,3142,tas,19860208,9289559,38223
ronan,anthomy,100,newman morris circuit,old lake shotel,chittering,2148,vic,19710321,5778625,63034
thomas,meadows,13,bridgge place,,malvern aest,2794,wa,19840422,1641632,1470
magnus,grubb,19,gurrang avenue,jalkaro,rye,5044,vic,19771206,1271018,9323
alisha,white,300,dalgarno close,westport,burringbar,6107,vic,19660114,9639569,45486
caleb,hage,34,mcdermott street,dallyn,johns river,4350,act,19110405,5267460,91486
eliza,mason,57,kennedy street,brentwood vlge,bundamba,4067,tas,19071124,3004030,14146
amy,flatman,655,campbell street,woodsong,north hobart,2016,vic,19540812,1679056,73818
holly,shepherd,3,stillwell place,elston,albion park rail,6201,vic,19800323,4620818,60767
jessica,vincent,223,,lithgowvale,ascot vale,2209,nsw,19930511,8036304,85093
ella,rawlings,1,garanga,shoalhaven avenue,bulimba,2481,vic,19031013,1872004,11136
kiana,gillick,25,clive steele avenue,mandala gdns,lakemba,4021,nsw,19331116,6877470,68167
dominic,flockhart,2,oxley steret,clear creek,nortngate,3000,wa,19890621,5173538,51384
jacob,bowerman,19,halford crescent,sutyton,nollamara,2431,qdl,19880821,6089424,47597
lucy,green,38,manning street,,canley vale,2228,nsw,19411102,5041084,49336
olivr,clarke,35,macumba place,ordviewaestate,sunshine,3150,nsw,19721201,3931949,37677
lauren,blascgke,72,mccormcak street,marx hill street,bittern,4619,,19130618,7472975,3644
keegan,wotton,38,magrath crescent,marshanti arabians,colac,6108,nsw,19700122,1663324,39307
sameul,ryan,512,hilder street,state bank arcade,elizabeth grove,2300,sa,19830613,5653742,89360
travks,stubsb,42,scardon street,st john of g o hospital,raymond terrace,2516,nsw,19010228,5893718,51099
madisono,mattyews,4,sugarloaf circuit,bonn ydoon,burpengary,2090,vic,19290710,1551052,96241
gillian,blake,131,charterisville avenue,whispering pines,avondale heights,2145,vic,19720122,1432771,61550
oliver,haggett,37,aprt 504,dartnell street,holden hill,4858,nsw,19570530,2086061,30053
lukas,hannagan,12,mundawarocircuit,nimmie,kaleen,2632,vic,19130118,8794152,26951
wiliam,stubbs,36,lamabr,kingsmill street,canterbury,2206,wa,19340903,9667086,5417
jessica,smallacombe,43,eve place,ellerslee,nunawading,5540,vic,19060713,6942191,40693
destynii,bowermn,21,halford crescent,sutton,nollamara,2413,qld,19880821,6089424,8607
megan,purdon,8,lyndon street,hawkesbury natural health acupuncture ce,minchinbupry,2256,vic,19900130,1801047,16328
danika,langer,16,bellinger circuit,gwandalan,frankston,4108,act,19900709,2332785,29246
joshua,mayman,7,pike place,,moorooka,2830,vic,19801013,1937873,56786
lauren,paine,27,mcvey p lace,yambira,helidon,2463,qld,19440502,4517134,44434
joshua,felmingham,3,fullagar crescent,mariner views,evandale,2229,nsw,19810315,8249572,69375
mitchekl,waller,66,brewster place,osborne house,toowoomba,4740,sa,19371230,9707084,46025
timothy,broadby,1,mare ngo place,lewin lodge,leonards hill,2770,qld,19670530,3863457,48383
lara,slave,11,lamington s treet,rodehill,albany creek,6020,wa,19010927,2204911,91491
hannah,clarke,19,anzac park,willandra village,currumbin valley,2454,nsw,19991107,4460293,24992
bree,reid,3,gooromon po nds road,eldwick,rockb point,6155,nsw,19230129,8794990,94411
sebatian,petersen,1,chinner cfescent,dorothy genders vlge,dapto,3015,wa,19290524,2310376,20987
george,hope,76,kitchener street,,nanneella,6530,vic,19370305,9882299,12966
abby,robson,20,anzac park,chanak,ettalong,3149,qld,19840131,7511641,39356
stephanie,spong,14,kenyon circuit,waverley lodge,normanhurst,3182,nsw,19430901,6128280,66666
emm,papp-horfvath,115,appel crescent,the lakes retirement village,allambie,2222,nsw,19620713,5409983,42841
tristan,hunting,22,jerrabomberra avenue,elamon cottage,tornto,4873,qld,19430818,3648446,28278
kirar,neville,23,rene street,medical centre,burpengary,2747,qld,19140824,2031372,71500
